760
Cac dinh anh huong sap giam dan
Suc anh huong cua dinh 1 : 0.90581
Suc anh huong cua dinh 75 : 0.0218926
Suc anh huong cua dinh 676 : 0.0171272
Suc anh huong cua dinh 422 : 0.0170859
Suc anh huong cua dinh 317 : 0.0155621
Suc anh huong cua dinh 359 : 0.0151527
Suc anh huong cua dinh 77 : 0.0121655
Suc anh huong cua dinh 427 : 0.0109885
Suc anh huong cua dinh 396 : 0.0074356
Suc anh huong cua dinh 183 : 0.00566775
Suc anh huong cua dinh 499 : 0.00389915
Suc anh huong cua dinh 20 : 0.0038731
Suc anh huong cua dinh 82 : 0.0037081
Suc anh huong cua dinh 10 : 0.00338906
Suc anh huong cua dinh 321 : 0.00322747
Suc anh huong cua dinh 308 : 0.00322704
Suc anh huong cua dinh 145 : 0.00312073
Suc anh huong cua dinh 14 : 0.00224483
Suc anh huong cua dinh 529 : 0.00215234
Suc anh huong cua dinh 50 : 0.00204986
Suc anh huong cua dinh 712 : 0.00156901
Suc anh huong cua dinh 404 : 0.00156135
Suc anh huong cua dinh 182 : 0.00148247
Suc anh huong cua dinh 576 : 0.00139508
Suc anh huong cua dinh 310 : 0.00133916
Suc anh huong cua dinh 348 : 0.00132385
Suc anh huong cua dinh 297 : 0.00127931
Suc anh huong cua dinh 137 : 0.00122466
Suc anh huong cua dinh 319 : 0.00120468
Suc anh huong cua dinh 753 : 0.00120191
Suc anh huong cua dinh 485 : 0.00117225
Suc anh huong cua dinh 17 : 0.00112218
Suc anh huong cua dinh 443 : 0.0010972
Suc anh huong cua dinh 405 : 0.0010821
Suc anh huong cua dinh 625 : 0.00107243
Suc anh huong cua dinh 514 : 0.00103288
Suc anh huong cua dinh 66 : 0.000884467
Suc anh huong cua dinh 354 : 0.000875962
Suc anh huong cua dinh 384 : 0.000872879
Suc anh huong cua dinh 325 : 0.00087171
Suc anh huong cua dinh 335 : 0.000825252
Suc anh huong cua dinh 480 : 0.000797186
Suc anh huong cua dinh 257 : 0.000776774
Suc anh huong cua dinh 336 : 0.000760508
Suc anh huong cua dinh 369 : 0.000749558
Suc anh huong cua dinh 701 : 0.00068896
